id;label;code;badge;badge_content_type;description_fr;description_en
1;"Z)";"VR";../fake-data/blob/hipster.png;image/png;équipe de recherche;gestionnaire adhérer
2;"IR1N5d";"RX";../fake-data/blob/hipster.png;image/png;ouf;au moyen de miam
3;"J)-nKj";"FD";../fake-data/blob/hipster.png;image/png;guide;résoudre extatique
4;"AQ7:FU";"HL";../fake-data/blob/hipster.png;image/png;tendre accélérer;en vérité
5;"V";"VT";../fake-data/blob/hipster.png;image/png;puisque juriste sage;délégation
6;"W";"DJ";../fake-data/blob/hipster.png;image/png;juriste drelin en dehors de;amuser après
7;"J6&!+I";"PI";../fake-data/blob/hipster.png;image/png;jusqu’à ce que prout;sous couleur de outre pschitt
8;"N[PVxT";"BS";../fake-data/blob/hipster.png;image/png;adversaire;afin que
9;"M";"JB";../fake-data/blob/hipster.png;image/png;échanger sous couleur de;de manière à ce que
10;"AK[k";"JV";../fake-data/blob/hipster.png;image/png;du fait que;dessus pschitt
